,cohort,founderImage,founders,id,logo,name,projectDescription,projectLocation,projectStatus,sector,website
10,"{'label': 'EF1 (London)', 'value': 'ef1London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Alumni-Placeholder/_w1024/Pixel_emoji_2_170628_110031.png,"[{'col1': 'Conno Christou', 'founderName': 'Conno Christou'}, {'col1': 'George Makkoulis', 'founderName': 'George Makkoulis'}]",266,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/avocarrot_logo.png,Avocarrot,"<p><strong>Avocarrot</strong>’s mission is to is to fix the core of mobile advertising by empowering app developers. Through Avocarrot, developers can easily monetise their mobile applications by dropping in native advertising.</p>
<p><br /></p>
<p><strong>Conno Christou</strong> earned a Meng, Electrical and Electronic Engineering from Imperial.</p>
<p><br /></p>
<p><strong>George Eracleous</strong> holds a Meng, Information Systems Engineering also from Imperial.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Exited', 'value': 'exited', 'selected': True}","{'label': 'AR/VR/Media', 'value': 'arVrMedia', 'selected': True}",https://www.avocarrot.com/
11,"{'label': 'EFSG2 (Singapore)', 'value': 'efsg2Singapore', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/EFSG1.png,"[{'col1': 'Corey Manders', 'founderName': 'Corey Manders'}, {'col1': 'Martin Sawtell', 'founderName': 'Martin Sawtell'}]",1674,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/betaSight.png,BetaSight,"<p><strong>BetaSight Technologies</strong> uses VR and Eye-Tracking to understand a user's health. Our mission is to make diagnostics intuitive, engaging and ubiquitous by understanding what your eyes are doing. By focusing on the problem of Glaucoma first, our growing platform will grow to be able to diagnose neurological as well as physiological conditions. Eye-tracking will be the new blood test, enabled by the coming wave of mixed reality technology.</p>
<p><strong><br /></strong></p><p><strong>Corey Manders</strong> holds a PhD in Computer Engineering from the University of Toronto, where he worked on VR/AR headsets as early as the mid '90s. He has a track record in developing Ophthalmic devices and is an expert in computer vision algorithms.</p>
<p><strong><br /></strong></p><p><strong>Martin Sawtell</strong> comes from a Visual Effects background, where for the past 10 years has worked at studios like Lucasfilm on projects such as Star Wars and Ready Player One. His specialisation is in dynamics simulation &amp; rendering, and has worked with formats ranging from stereo film to planetariums.</p>
<p></p>","{'label': 'Singapore', 'value': 'singapore', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Digital Health', 'value': 'healthcare', 'selected': True}",http://betasight.com/
12,"{'label': 'EF5 (London)', 'value': 'ef5London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/BEYOND.JPG,"[{'col1': 'James Williams', 'founderName': 'James Williams'}, {'col1': 'Xavier Wilders', 'founderName': 'Xavier Wilders'}]",268,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Beyond-Ico2.png,Beyond,"<p><strong>Beyond</strong> transforms how businesses do budgeting - making it real-time and collaborative. Companies can quickly react and plan in real-time, instead of waiting for the next drawn-out budget cycle.</p>
<p><br /></p>
<p><strong>James Williams</strong> spent four years at Barclays, building high performance trading systems and working directly with the CIO, so he understands the pain of budgeting from both sides. He has two Master’s, including one in Machine Learning from UCL.</p>
<p><br /></p>
<p><strong>Xavier Wilders</strong> graduated top of his year with a Master’s in Computer Science from Oxford. He single-handedly built the initial version of Beyond that is still being used by a multinational pharmaceutical company. </p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Enterprise Solutions', 'value': 'enterpriseSolutions', 'selected': True}",https://bebeyond.co/
13,"{'label': 'EF1 (London)', 'value': 'ef1London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Alumni-Images/_w1024/Emily_Brooke_Blaze.jpg,"[{'col1': 'Emily Brooke', 'founderName': 'Emily Brooke'}]",130,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/ef-alumni-blaze-a.png,Blaze,"<p>The <strong>Blaze Laserlight</strong> stops cyclists from being caught in the ‘blind spot’ – the greatest cause of cycling fatalities. After a successful Kickstarter, Blaze is now sold across major retailers including Evans Cycles and is being trialled on all ‘Boris’ bikes in London.</p>
<p><br /></p>
<p><strong>Emily Brooke</strong> holds a BSc in Product Design from Brighton, an MSc in Product Service System Design from Politecnico di Milano and a BSc in Physics from Oxford University.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Robotics/IoT', 'value': 'roboticsIot', 'selected': True}",https://blaze.cc/
14,"{'label': 'EF5 (London)', 'value': 'ef5London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/BLINKPOOL.JPG,"[{'col1': 'Suraj Gosai', 'founderName': 'Suraj Gosai'}, {'col1': 'Jordan Douglas-White', 'founderName': 'Jordan Douglas-White'}]",271,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/ef-alumni-blinkpool-b.png,Blinkpool,"<p><strong>Blinkpool</strong> have developed proprietary computer vision technology enabling them to generate hyper-contextual wagering markets for eSports.</p>
<p><strong><br /></strong></p>
<p><strong>Suraj</strong> completed his Master's in mathematics at UCL and went on to work as a quant in investment banking and finance building models to investigate market microstructure and trading behaviour. After this he worked as a senior data scientist carrying our predictive modelling work that was used by multiple 2016 US presidential candidates.</p>
<p><strong><br /></strong></p>
<p><strong>Jordan</strong> has over 6 years experience in computer-vision and artificial intelligence. He has created a computer-vision system to extract tennis data directly from live TV feeds. He then went on to work in the defence (BAE Systems) and medical image processing (Hamamatsu) sectors building software handling large volumes of data satisfying stringent temporal constraints.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Gaming', 'value': 'gaming', 'selected': True}",https://blinkpredict.com/
15,"{'label': 'EF6 (London)', 'value': 'ef6London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Screen-Shot-2017-07-07-at-1.42.28-PM.png,"[{'col1': 'Guillaume Bouchard', 'founderName': 'Guillaume Bouchard'}, {'col1': 'Luis Ulloa', 'founderName': 'Luis Ulloa'}]",273,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/ef-alumni-bloomsburysquare-b.png,Bloomsbury,"<p><strong></strong><strong>Bloomsbury AI</strong> automates customer care and advice. Our AI reads background documents and any additional information, and then automates answers (with explanations) to customer questions. Questions that the AI can't answer are passed on to a Human.</p>
<p><br /></p>
<p>The founding team are world experts in Machine Learning and  have over 60 patents and 200 peer reviewed publications.</p>
<p><br /></p>
<p><strong>Guillaume Bouchard</strong> completed his PhD in statistics from INRIA. He has 15 years experience at Xerox Research and UCL in machine learning and NLP.</p>
<p><br /></p>
<p><strong>Luis Ulloa</strong> is a prize winning research engineer. He created the optimisation and machine learning algorithms and IP behind two of the most profitable projects at Xerox Research.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Data Analytics', 'value': 'dataAnalytics', 'selected': True}",http://bloomsbury.ai/
16,"{'label': 'EF6 (London)', 'value': 'ef6London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/brolly.jpg,"[{'col1': 'Phoebe Hugh', 'founderName': 'Phoebe Hugh'}, {'col1': 'Mykhailo Loginov', 'founderName': 'Mykhailo Loginov'}]",138,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Brolly.png,Brolly,"<p><strong>Brolly</strong> is an AI-driven personal insurance concierge, available through a smartphone app. Brolly is being built to make it incredibly easy people to understand, manage and buy insurance, using the Brolly Advisor, Brolly Locker and Brolly Shop.</p>
<p><br /></p>
<p><strong>Phoebe Hugh</strong> began her career at Aviva as an Underwriter and Product Manager. She holds qualifications with the Chartered Insurance Institute and a BSc in Psychology from the University of Manchester.</p>
<p><br /></p>
<p><strong>Mykhailo Loginov</strong> spent over 7 years at Microsoft and Skype as a Software Engineer and Manager, and holds a Masters in Computer Science from Kyiv Polytechnic Institute.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Finance', 'value': 'finance', 'selected': True}",https://www.heybrolly.com/
17,"{'label': 'EF6 (London)', 'value': 'ef6London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Screen-Shot-2017-07-07-at-1.37.50-PM.png,"[{'col1': 'Rashid Khan', 'founderName': 'Rashid Khan'}, {'col1': 'Boris Ploix', 'founderName': 'Boris Ploix'}]",276,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Calipsa.png,Calipsa,"<p><strong>Calipsa</strong> is building a Deep Learning based cloud platform to automate traffic surveillance, monitoring and data collection. Our technology transforms existing IP cameras into smart cameras allowing them to classify what is on the road. Currently, these tasks rely entirely on human operators which is both inefficient and expensive.</p>
<p><strong><br /></strong></p>
<p><strong>Rashid Khan</strong> has a Master’s in Machine Learning from the University of Cambridge. Rashid has extensive industrial experience ranging from consulting to tech startups. He has worked at Symantec, Accenture and Wonga over the past five years. 
</p>
<p><br /></p>
<p><strong>Boris Ploix</strong> has a degree in Applied Mathematics from Imperial College. He spent the last 3 years working in the transport industry at the French Ministry of Transport and Transport for London. He worked on several data analytics projects during his time there.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Data Analytics', 'value': 'dataAnalytics', 'selected': True}",http://calipsa.io/
18,"{'label': 'EF5 (London)', 'value': 'ef5London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/CAMBRIAN-INTELLIGENCE.JPG,"[{'col1': 'Miika Perä', 'founderName': 'Miika Perä'}, {'col1': 'Hamid Reza Zaheri', 'founderName': 'Hamid Reza Zaheri'}]",278,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/Cambrian.jpg,Cambrian Intelligence,"<p><strong></strong><strong>Cambrian Intelligence</strong> develops the next generation teleoperation interface. We enable seamless natural teleoperation of robots. Robotic actuators replicate the hand and arm movements of the user and provide touch feedback. </p>
<p><strong><br /></strong></p>
<p><strong>Miika Perä</strong> has co-founded two successful startups that have generated over £3M revenue so far. He has a degree in Finance and has studied Bioinformation technology at Aalto University.</p>
<p><br /></p>
<p><strong>Hamid Reza Zaheri </strong>has an Aerospace B.Sc and Embedded Systems M.Sc. from the University of Stuttgart. He has conducted active research in various fields such as active learning for real-time object detection, robotic perception, design and implementation of unmanned systems.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Manufacturing/Industrial', 'value': 'manufacturingIndustrial', 'selected': True}",http://www.caint.io/
19,"{'label': 'EF8 (London)', 'value': 'ef8London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Cargo-Mate.png,"[{'col1': 'Chris Jones', 'founderName': 'Chris Jones'}, {'col1': 'Dennis Sandmark', 'founderName': 'Dennis Sandmark'}]",1638,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/Cargo-Mate.png,CargoMate,"<p><strong>CargoMate</strong> <strong>Technologies </strong>saves millions in fuel costs by helping container ships leave port early. We will save the shipping industry $1bn each year by turning port monitoring on its head and monitoring events ship-side. We provide real-time data to shipping companies. This will improve schedule reliability and allow them to proactively manage their fleet. <br /></p>
<p><strong><br /></strong></p>
<p><strong>Chris Jones </strong>spent 12 years in the Merchant Navy, where he conducted hundreds of cargo operations worldwide. He has also worked for Orient Overseas Container Line, Maersk Line and P&amp;O Nedlloyd. He holds a degree in Merchant Ship Operations from Southampton Solent University.<br /><br /></p>
<p><strong>Dennis Sandmark</strong> completed his MSc in Information Technology Engineering at Uppsala University. He has worked for six years as a Full Stack Software Engineer, building robust, scalable systems for clients such as Digital McKinsey and Spotify.<strong><br /></strong></p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Transportation / Logistics', 'value': 'transportationLogistics', 'selected': True}",https://cargomate.co.uk/
20,"{'label': 'EF5 (London)', 'value': 'ef5London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/CERTSIMPLE.JPG,"[{'col1': 'Mike MacCana', 'founderName': 'Mike MacCana'}]",282,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/ef-alumni-certsimple-b_170628_122709.png,CertSimple,"<p><strong></strong><strong>CertSimple</strong> helps companies prove their identity online. High trust websites like your bank prove their identity to web browsers by going through a process called 'extended validation' (EV). The only problem is: the EV background checks are a slow, painful process, typically taking 7-10 days.</p>
<p><br /></p>
<p><strong>Mike MacCana</strong> spent a decade building and automating server infrastructure for some of the world's largest banks and hedge funds at companies like Red Hat and IBM, then switched his career and spent a further seven years creating high-profile web user experiences for the likes of Google and Microsoft. </p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Security', 'value': 'security', 'selected': True}",https://certsimple.com/
